Intake24 code,Action,English Description,Local description,Local description/Malay,Local description/Mandarin,Local description/Tamil,Food composition table,Food composition record ID,Ready Meal Option,Same As Before Option,Reasonable Amount,Use In Recipes,Associated Food / Category,Brand Names,Associated Food / Category (Malay),Associated Food / Category (Tamil),Portion size estimation methods,Categories,,,,,,,
HAZO,1,Hazelnut oil,Hazelnut oil,,,,AUSNUT,04C10106,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: AUSspoons",BTTR,CKGO,,,,,,
HBRL,1,Hamburger relish,Hamburger relish,,,,AUSNUT,10B10077,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.03, serving-image-set: sauce_dollop, leftovers-image-set: sauce_dollop_leftovers
Method: guide-image, conversion: 1.25, guide-image-id: AUSspoons
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: teaspoons, unit0-weight: 6.25, unit0-omit-food-description: false, unit1-name: tablespoons, unit1-weight: 25, unit1-omit-food-description: false",COND,PCKL,RLSH,SLW2,,,,
HBTA,1,"Hamburger in a bun, from takeaway","Hamburger in a bun, from takeaway",,,,AUSNUT,02F30264,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: Gbur",BRGB,BRGS,MEAT,,,,,
HCAN,4,"Ham, tinned","Ham, tinned","Ham, dalam tin",罐装火腿,"ஹாம், டின்ட்",AUSNUT,08E30351,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: Gham
Method: guide-image, conversion: 1.0, guide-image-id: AUSmeatcan",HAMS,MEAT,SLW1,SW03,,,,
HCRB,2,Hot cross bun,Hot cross buns,Hot cross buns,十字热面包,ஹாட் கிராஸ் பன்ஸ்,AUSNUT,02E20117,Inherited,Inherited,Inherited,Inherited,"SUGR({en: Did you have sugar / jams / marmalades / spreads / pates with your hot cross bun?}),
BTTR({en: Did you have butter / margarine / oils with your hot cross bun?})",,"BTTR({ms: Adakah anda mengambil mentega / marjerin bersama Hot cross buns?}),
SUGR ({ms: Adakah anda mengambil jem / sapuan bersama Hot cross buns?})","SUGR({ta: ஹாட் கிராஸ் பன்ஸ் உடன் சேர்த்து சர்க்கரை / ஜாம்கள் / மர்மலேடுகள் / ஸ்ப்ரெட்கள் / பேட்ஸ் சாப்பிட்டீர்களா?}), 
BTTR({ta: ஹாட் கிராஸ் பன்ஸ் உடன் சேர்த்து வெண்ணெய் / மார்கரைன் / எண்ணெய்கள் சாப்பிட்டீர்களா?})","Method: guide-image, conversion: 1.0, guide-image-id: Groll",BUNS,CAKE,,,,,,
HCRS,2,"Cereal bar, fruit filled e.g. K-Time Baked Twist, Go Ahead crispy slices","Cereal bar, fruit filled e.g. K-Time Baked Twist, Go Ahead crispy slices","Bar bijirin, berisi buah e.g. K-Time Baked Twist, Go Ahead crispy slices",果馅麦片棒（例如K-Time Baked Twist）,"பழம் நிரப்பிய தானிய பார் எ.கா. K-Time Baked Twist, Go Ahead crispy slices",AUSNUT,12C10443,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: Gcbar_unwrapped",BSCT,CRBR,CRLS,OTBS,,,,
HCRY,2,Crunchy oat cereal bar e.g. Nature Valley,Crunchy oat cereal bar e.g. Nature Valley,Bar bijirin oat rangup e.g. Nature Valley,脆燕麦麦片棒（例如Nature Valley）,முறுமுறுப்பான ஓட்ஸ் தானிய பார் எ.கா. Nature Valley,AUSNUT,02C20288,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: Gcbar_unwrapped",BSCT,CRBR,CRLS,OTBS,,,,
HCSK,1,"Hot chocolate, low calorie, made with light milk","Hot chocolate, low calorie, made with light milk",,,,AUSNUT,01B10553,Inherited,Inherited,Inherited,Inherited,,,,,"Method: drink-scale, conversion: 1.0, drinkware-id: mugs, initial-fill-level: 0.9, skip-fill-level: false
Method: drink-scale, conversion: 1.0, drinkware-id: takeaway_cups_hot, initial-fill-level: 0.9, skip-fill-level: false",DCHO,DRNK,HCHC,,,,,
HCWH,1,"Hot chocolate, low calorie, made with full cream milk","Hot chocolate, low calorie, made with full cream milk",,,,AUSNUT,01B10329,Inherited,Inherited,Inherited,Inherited,,,,,"Method: drink-scale, conversion: 1.0, drinkware-id: mugs, initial-fill-level: 0.9, skip-fill-level: false
Method: drink-scale, conversion: 1.0, drinkware-id: takeaway_cups_hot, initial-fill-level: 0.9, skip-fill-level: false",DCHO,DRNK,HCHC,,,,,
HDSM,1,"Flake or Shark, steamed / poached","Flake or Shark, steamed / poached",,,,AUSNUT,05A10654,FALSE,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: salmon_steak
Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: fillets, unit0-weight: 134, unit0-omit-food-description: true",FFLT,FISH,SLW1,SW03,,,,
HDST,1,"Blue grenadier or Hoki, poached / steamed","Blue grenadier or Hoki, poached / steamed",,,,AUSNUT,05A10887,FALSE,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: salmon_steak
Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: fillets, unit0-weight: 2000, unit0-omit-food-description: true",FFLT,FISH,SLW1,SW03,,,,
HEDG,1,Hedgehog slice,Hedgehog slice,,,,AUSNUT,02E50274,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: Gcake
Method: guide-image, conversion: 1.0, guide-image-id: Gchocbites",CAKE,SLBC,,,,,,
HERB,2,"Meal replacement drink, made up water","Meal replacement drink, made up water","Minuman pengganti makanan, dibuat dengan air",用水制成的代餐饮料,"உணவு மாற்றி பானம், தண்ணீருடன் தயாரிக்கப்பட்டது",AUSNUT,01B10500,Inherited,Inherited,Inherited,Inherited,,,,,"Method: drink-scale, conversion: 1.0, drinkware-id: glasses_soft, initial-fill-level: 0.9, skip-fill-level: false
Method: guide-image, conversion: 1.0, guide-image-id: AUSmilk
Method: drink-scale, conversion: 1.0, drinkware-id:  MY_HotDrinksMug, initial-fill-level: 0.9, skip-fill-level: false",DRNK,MILK,SHKS,,,,,
HERP,1,"Rice pudding, low fat","Rice pudding, low fat",,,,AUSNUT,09D20120,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: milk_pudding, leftovers-image-set: milk_pudding_leftovers",DESS,MPUD,,,,,,
HFFR,1,"Creme fraiche, reduced fat","Creme fraiche, reduced fat",,,,AUSNUT,09A50047,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.02, guide-image-id: AUSspoons
Method: standard-portion, conversion: 1.0, units-count: 3, unit0-name: tablespoons, unit0-weight: 20.4, unit0-omit-food-description: false, unit1-name: cups, unit1-weight: 255, unit1-omit-food-description: false, unit2-name: tubs, unit2-weight: 200, unit2-omit-food-description: false",CREM,MILK,,,,,,
HHOC,1,Ham hock,Ham hock,,,,AUSNUT,08A30437,FALSE,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: chicken_breast_slices, leftovers-image-set: chicken_breast_slices_leftovers",MEAT,RSTM,SLW1,SW03,,,,
HJOY,2,Honey Joy,Honey Joy,Honey Joy,蜂蜜玉米片小吃， Honey joy,தேன் ஜாய்,AUSNUT,12C10527,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: cakes, unit0-weight: 12.9, unit0-omit-food-description: true",CAKE,,,,,,,
HMEL,1,Aioli,Aioli,,,,AUSNUT,10F20111,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: NDNS_mayo, leftovers-image-set: NDNS_mayo_leftovers
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: teaspoons, unit0-weight: 5.4, unit0-omit-food-description: false, unit1-name: tablespoons, unit1-weight: 21.6, unit1-omit-food-description: false",COND,MAYN,SLW2,SW06,,,,
HMLI,1,Vegan aioli,Vegan aioli,,,,AUSNUT,10F20107,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: NDNS_mayo, leftovers-image-set: NDNS_mayo_leftovers
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: teaspoons, unit0-weight: 5.4, unit0-omit-food-description: false, unit1-name: tablespoons, unit1-weight: 21.6, unit1-omit-food-description: false",COND,MAYN,SLW2,SW06,,,,
HMLN,3,"Melon, honeydew","Honeydew, fresh","Tembikai susu, segar",生哈密瓜,"ஹனிட்யூ, புதியது",AUSNUT,06D10532,Inherited,Inherited,1400,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: melon, leftovers-image-set: melon_leftovers",FREF,FRTS,MLNS,SLW1,,,,
HMPP,2,"Vegetable / fruit powders e.g. spirulina, barleygrass, supergreens","Vegetable / fruit powders e.g. spirulina, barleygrass, supergreens","Serbuk sayur / buah e.g. spirulina, barleygrass, supergreens",蔬菜/水果粉，例如螺旋藻，大麦草，超级绿色食品,"காய்கறி / பழப் பொடிகள் எ.கா. ஸ்பைருலினா, பார்லிகிராஸ், சூப்பர்கிரீன்ஸ்",AUSNUT,13A12631,Inherited,Inherited,Inherited,Anywhere,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: AUSspoons",MISC,RWFD,,,,,,
HMWN,2,"Homemade wine, any type","Homemade wine, any type","Wain buatan sendiri, aneka jenis",自制葡萄酒，任何类型,"வீட்டில் தயாரிக்கப்பட்ட ஒயின், எந்த வகையானது",AUSNUT,9246,Inherited,TRUE,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: AUSwine
Method: drink-scale, conversion: 1.0, drinkware-id: glasses_wine, initial-fill-level: 0.9, skip-fill-level: false",ALCL,DRNK,WINE,,,,,
HNCB,2,Honeycomb,Honeycomb,Sarang madu,蜂巢糖,தேன்கூடு,AUSNUT,12C10425,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: pieces, unit0-weight: 10, unit0-omit-food-description: false",CONF,OTSW,,,,,,
HNCF,2,Wheat flakes with apricots and sultanas e.g. Just right,Wheat flakes with apricots and sultanas e.g. Just right,Flakes gandum dengan aprikot dan sultana e.g. Just right,加杏和葡萄干的小麦片，例如Just Right,அப்ரிகாட் மற்றும் சுல்தானாவுடன் கோதுமை பிளக்ஸ் எ.கா.  Just right,AUSNUT,02D10278,Inherited,Inherited,Inherited,Inherited,MCRL({en: Did you have milk on cereal with your wheat flakes with apricots and sultanas e.g. Just right?}),,MCRL ({ms: Adakah anda mengambil susu bersama Flakes gandum dengan aprikot dan sultana e.g. Just right?}),"MCRL({ta: அப்ரிகாட் மற்றும் சுல்தானாவுடன் கோதுமை பிளக்ஸ் எ.கா.  Just right உடன் சேர்த்து பால் சாப்பிட்டீர்களா?})
","Method: cereal, conversion: 1.0, type: flake",CRLS,FCRL,,,,,,
HNEY,2,"Honey, spread on bread","Honey, spread on bread","Madu, disapu pada roti",蜂蜜，涂在面包上,"தேன், ரொட்டி மீது பரவியது",AUSNUT,12A10076,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: jam",HONI,SUGR,SW02,,,,,
HNUT,2,"Hoop breakfast cereal, honey flavoured e.g. Cheerios Honey","Hoop breakfast cereal, honey flavoured e.g. Cheerios Honey","Bijirin sarapan Hoop, berperisa madu e.g. Cheerios Honey",蜂蜜味圈形早餐麦片，例如Cheerios Honey,"ஹூப் காலை உணவு தானியங்கள், தேன் சுவை எ.கா. Cheerios Honey",AUSNUT,02D10326,Inherited,Inherited,Inherited,Inherited,"MCRL({en: Did you have milk on cereal with your hoop breakfast cereal, honey flavoured e.g. Cheerios Honey?})",,"MCRL ({ms: Adakah anda mengambil susu bersama Bijirin sarapan Hoop, berperisa madu e.g. Cheerios Honey?})","MCRL({ta: ஹூப் காலை உணவு தானியங்கள், தேன் சுவை எ.கா. Cheerios Honey உடன் சேர்த்து தானியத்தில் பால் சாப்பிட்டீர்களா?})","Method: cereal, conversion: 1.8, type: hoop",CRLS,HPCR,,,,,,
HOCC,1,"Cheesecake, reduced fat","Cheesecake, reduced fat",,,,AUSNUT,02E10486,FALSE,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: NDNS_cheesecake, leftovers-image-set: NDNS_cheesecake_leftovers",CHSK,DESS,,,,,,
HOCS,1,"Curry sauce, reduced fat","Curry sauce, reduced fat",,,,AUSNUT,10A10450,FALSE,Inherited,Inherited,Inherited,"CARB, BRED",,,,"Method: as-served, conversion: 1.0, serving-image-set: tomato_sauce, leftovers-image-set: tomato_sauce_leftovers
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: tablespoons, unit0-weight: 22.6, unit0-omit-food-description: false, unit1-name: cups, unit1-weight: 282.5, unit1-omit-food-description: false",CURS,SAUC,,,,,,
HODI,2,"Digestive biscuits, light","Digestive biscuits, light","Biskut pencernaan, ringan",轻型消化饼干， digestive,"செரிமான பிஸ்கட், லேசான ",AUSNUT,02C20289,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: biscuits, unit0-weight: 15, unit0-omit-food-description: true",BSCT,DGST,SWBC,,,,,
HOGB,1,"Garlic bread, reduced fat","Garlic bread, reduced fat",,,,AUSNUT,02F30313,FALSE,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: Gsli
Method: guide-image, conversion: 1.0, guide-image-id: Gpiz
Method: guide-image, conversion: 1.0, guide-image-id: Groll",BRED,GBRD,SW01,,,,,
HOIC,1,"Ice cream, reduced fat (any flavour) e.g. Peters Light & Creamy","Ice cream, reduced fat (any flavour) e.g. Peters Light & Creamy",,,,AUSNUT,09D10222,Inherited,Inherited,Inherited,Inherited,"IWFR, ICEL",,,,"Method: as-served, conversion: 1.0, serving-image-set: ice_cream, leftovers-image-set: ice_cream_leftovers",ICEC,ICEL,,,,,,
HOIS,4,Hoisin sauce,Hoisin sauce,Sos Hoisin,海鲜酱,ஹோய்சின் சாஸ்,AUSNUT,10A10433,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: teaspoons, unit0-weight: 5.4, unit0-omit-food-description: false, unit1-name: tablespoons, unit1-weight: 21.6, unit1-omit-food-description: false",BBFS,COND,SLW2,SW06,,,,
HOKG,1,"Blue grenadier or Hoki (no batter/breadcrumbs), grilled / baked / roasted / fried","Blue grenadier or Hoki (no batter/breadcrumbs), grilled / baked / roasted / fried",,,,AUSNUT,05A10885,FALSE,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: salmon_steak
Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: fillets, unit0-weight: 183, unit0-omit-food-description: true",FFLT,FISH,SLW1,SW03,,,,
HOKK,1,Hokkien noodles,Hokkien noodles,,,,AUSNUT,02A10420,FALSE,Inherited,Inherited,Anywhere,,,,,"Method: as-served, conversion: 1.15, serving-image-set: noodles, leftovers-image-set: noodles_leftovers",CARB,NDLS,,,,,,
HOLS,2,Hollandaise sauce,Hollandaise sauce,Sos Hollandaise,"荷兰, hollandaise酱",ஹாலண்டேஸ் சாஸ்,AUSNUT,10A10470,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.06, guide-image-id: AUSspoons
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: teaspoons, unit0-weight: 5.3, unit0-omit-food-description: false, unit1-name: tablespoons, unit1-weight: 21.2, unit1-omit-food-description: false",COND,MAYN,SLW2,SW06,,,,
HOME,2,Home brew (homemade beer),Home brew (homemade beer),Brew buatan sendiri (bir buatan sendiri),自酿啤酒,ஹோம் ப்ரூ (வீட்டில் தயாரிக்கப்பட்ட பீர்),AUSNUT,01A10081,Inherited,TRUE,Inherited,Inherited,,,,,"Method: drink-scale, conversion: 1.0, drinkware-id: glasses_beer, initial-fill-level: 0.9, skip-fill-level: false",ALCL,BEER,DRNK,,,,,
HOMF,1,"Muffins, any flavour, low fat","Muffins, any flavour, low fat",,,,AUSNUT,02E10469,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: Gcake",CAKE,FRYC,,,,,,
HONY,2,"Honey, in spoonfuls","Honey, in spoonfuls","Madu, dalam sudu",一勺蜂蜜,"தேன், கரண்டியில்",AUSNUT,12A10076,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.43, guide-image-id: AUSspoons
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: teaspoons, unit0-weight: 7.15, unit0-omit-food-description: false, unit1-name: tablespoons, unit1-weight: 28.6, unit1-omit-food-description: false",HONI,SUGR,SW02,,,,,
HOOC,1,"Oven chips, reduced fat","Oven chips, reduced fat",,,,AUSNUT,13A12407,Inherited,Inherited,Inherited,Inherited,COND,,,,"Method: as-served, conversion: 1.0, serving-image-set: chips_straight, leftovers-image-set: chips_straight_leftovers
Method: as-served, conversion: 1.0, serving-image-set: chips_thick, leftovers-image-set: chips_thick_leftovers
Method: as-served, conversion: 1.0, serving-image-set: fren, leftovers-image-set: fren_leftovers
Method: as-served, conversion: 1.0, serving-image-set: chips_crinkle, leftovers-image-set: chips_crinkle_leftovers
Method: as-served, conversion: 1.0, serving-image-set: chips_curly, leftovers-image-set: chips_curly_leftovers",CHIP,POTS,SLW1,SW05,,,,
HORS,2,Horseradish sauce,Horseradish sauce,Sos horseradish,"辣根, horseradish酱",குதிரைவாலி சாஸ்,AUSNUT,10A10542,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.15, serving-image-set: sauce_dollop, leftovers-image-set: sauce_dollop_leftovers
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: teaspoons, unit0-weight: 5.05, unit0-omit-food-description: false, unit1-name: tablespoons, unit1-weight: 20.2, unit1-omit-food-description: false",COND,DIPS,PCKL,SLW2,,,,
HORT,4,Iced biscuits e.g. Arnott's Tic Toc,Iced biscuits e.g. Arnott's Tic Toc,Biskut beku e.g. Arnott's Tic Toc,糖霜饼干（例如Arnott's Tic Toc,ஐஸ்டு பிஸ்கட் எ.கா. Arnott's Tic Toc,AUSNUT,02C20300,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: biscuits, unit0-weight: 8.6, unit0-omit-food-description: true",BSCT,OTBS,SWBC,,,,,
HOTS,2,Hot sauce,Hot sauce,Sos pedas,辣酱,கார  சாஸ்,AUSNUT,10A10545,TRUE,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.08, guide-image-id: AUSspoons
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: teaspoons, unit0-weight: 5.4, unit0-omit-food-description: false, unit1-name: tablespoons, unit1-weight: 21.6, unit1-omit-food-description: false",CHIS,COND,SLW2,SW06,,,,
HPCG,1,Garlic sausages,Garlic sausages,,,,AUSNUT,08E20138,FALSE,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: Gsaus",MEAT,SLW1,SSGS,SW03,,,,
HPSA,2,Brown sauce,Brown sauce,Sos kecoklatan,棕色酱,பிரவுன் சாஸ்,AUSNUT,10A10530,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.15, serving-image-set: sauce_dollop, leftovers-image-set: sauce_dollop_leftovers
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: teaspoons, unit0-weight: 5.2, unit0-omit-food-description: false, unit1-name: tablespoons, unit1-weight: 20.8, unit1-omit-food-description: false",BBFS,COND,SLW2,SW06,,,,
HRFR,1,Herring,Herring,,,,AUSNUT,05A10665,FALSE,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: fillets, unit0-weight: 15, unit0-omit-food-description: true",FFLT,FISH,SLW1,SW03,,,,
HRGR,1,"Flathead (no batter/breadcrumbs), frilled / baked / roasted / fried","Flathead (no batter/breadcrumbs), frilled / baked / roasted / fried",,,,AUSNUT,05A10829,FALSE,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 3, unit0-name: small_fillets, unit0-weight: 58, unit0-omit-food-description: true, unit1-name: medium_fillets, unit1-weight: 91, unit1-omit-food-description: true, unit2-name: large_fillets, unit2-weight: 120, unit2-omit-food-description: true
Method: as-served, conversion: 1.0, serving-image-set: salmon_steak",FFLT,FISH,SLW1,SW03,,,,
HRPE,2,Honey roasted peanuts,Honey roasted peanuts,Kacang tanah panggang madu,蜂蜜烤花生,தேன் வறுத்த வேர்க்கடலை,AUSNUT,11B10244,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 0.89, serving-image-set: mixed_nuts
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: nuts, unit0-weight: 0.9, unit0-omit-food-description: false, unit1-name: handfuls, unit1-weight: 27, unit1-omit-food-description: false",CRPS,NUTS,SLW1,SW05,,,,
HSBF,2,"Hash browns, fried","Hash browns, fried","Hash browns, digoreng","油炸土豆饼, hashborwn","ஹாஷ் பிரவுன்ஸ், பொரித்தது ",AUSNUT,13A12415,TRUE,Inherited,Inherited,Inherited,COND({en: Did you have sauces / condiments / gravy / stock with your fried hash browns?}),,"COND({ms: Adakah anda mengambil sos / kuah bersama Hash browns, digoreng?})","COND({ta: ஹாஷ் பிரவுன், பொரித்தது  உடன் சேர்த்து சாஸ்கள் / மசாலாப் பொருட்கள் / குழம்பு சாப்பிட்டீர்களா?})","Method: guide-image, conversion: 1.0, guide-image-id: Gwaf",POTS,SLW1,SW05,VTGB,,,,
HSBG,2,"Hash browns, grilled / baked","Hash browns, grilled / baked","Hash browns, dipanggang / dibakar","烤土豆饼, hashborwn","ஹாஷ் பிரவுன்ஸ், கிரில் / ஒவன் வேகவைத்தது",AUSNUT,13A12202,TRUE,Inherited,Inherited,Inherited,COND({en: Did you have sauces / condiments / gravy / stock with your grilled/baked hash browns?}),,"COND({ms: Adakah anda mengambil sos / kuah bersama Hash browns, dipanggang / dibakar?})","COND({ta: ஹாஷ் பிரவுன், பொரித்தது  உடன் சேர்த்து சாஸ்கள் / மசாலாப் பொருட்கள் / குழம்பு சாப்பிட்டீர்களா?})","Method: guide-image, conversion: 1.0, guide-image-id: Gwaf",POTS,SLW1,SW05,VTGB,,,,
HTEA,2,"Herbal / Fruit tea e.g. Green tea, peppermint tea","Herbal / Fruit tea e.g. Green tea, peppermint tea","Teh herba / buah e.g. Teh hijau, teh peppermint",凉茶/水果茶（例如绿茶，薄荷,"மூலிகை / பழ தேநீர் எ.கா.  Green tea, peppermint tea",AUSNUT,01B10299,Inherited,Inherited,Inherited,Inherited,"SUGA({en: Did you have sugar with your herbal / Fruit tea e.g. Green tea, peppermint tea?}),
MDNK({en: Did you have milk with your herbal / Fruit tea e.g. Green tea, peppermint tea?})",,"SUGA({ms: Adakah anda mengambil gula bersama Teh herba / buah e.g. Teh hijau, teh peppermint?}),
MDNK({ms: Adakah anda mengambil susu bersama Teh herba / buah e.g. Teh hijau, teh peppermint?})","SUGA({ta: மூலிகை / பழ தேநீர் எ.கா.  Green tea, peppermint tea  உடன் சேர்த்து சர்க்கரை குடித்தீர்களா?}),
MDNK({ta: மூலிகை / பழ தேநீர் எ.கா.  Green tea, peppermint tea உடன் சேர்த்து பால் குடித்தீர்களா?})","Method: drink-scale, conversion: 1.0, drinkware-id: mugs, initial-fill-level: 0.9, skip-fill-level: false
Method: drink-scale, conversion: 1.0, drinkware-id: takeaway_cups_hot, initial-fill-level: 0.9, skip-fill-level: false",DRNK,TEAS,,,,,,
HUMB,2,"Boiled lollies, sugar free e.g. Double D varieties","Boiled lollies, sugar free e.g. Double D varieties","Boiled lollies, tanpa gula e.g. aneka Double D",无糖煮糖果，（例如Double D）,"வேகவைத்த லாலி, சர்க்கரை இல்லாதது எ.கா. Double D varieties",AUSNUT,12C10557,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: sweets, unit0-weight: 4, unit0-omit-food-description: true",BOIL,CONF,,,,,,
HUMS,2,Hummus,Hummus,Hummus,"鹰嘴豆泥, hummus",ஹம்முஸ்,AUSNUT,13B20239,Inherited,Inherited,Inherited,Inherited,BRED({en: Did you have bread with your hummus?}),,BRED({ms: Adakah anda mengambil roti / penkek bersama Hummus?}),BRED({ta: ஹம்முஸ் உடன் சேர்த்து ரொட்டி சாப்பிட்டீர்களா?}),"Method: guide-image, conversion: 1.0, guide-image-id: AUSspoons
Method: guide-image, conversion: 1.0, guide-image-id: AUSdips
Method: standard-portion, conversion: 1.0, units-count: 3, unit0-name: tablespoons, unit0-weight: 20, unit0-omit-food-description: false, unit1-name: cups, unit1-weight: 250, unit1-omit-food-description: false, unit2-name: mini_tubs, unit2-weight: 60, unit2-omit-food-description: false
Method: as-served, conversion: 1.05, serving-image-set: butc",COND,DIPS,PCKL,SLW2,,,,
HUSM,3,Ham,Ham,Ham,火腿,ஹாம்,AUSNUT,08E30349,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: Gham",HAMS,MEAT,SLW1,SW03,,,,
HVHP,1,"Vegetables with pasta/noodles, ready meal e.g. Lean Cuisine","Vegetables with pasta/noodles, ready meal e.g. Lean Cuisine",,,,AUSNUT,08F11086,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: packs, unit0-weight: 375, unit0-omit-food-description: false",SLW1,SW05,VGDI,VTGB,,,,
HZLN,2,Hazelnuts,Hazelnuts,Hazelnuts,榛子,ஹேசல்நட்ஸ்,AUSNUT,11B10202,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 0.9, serving-image-set: mixed_nuts
Method: standard-portion, conversion: 1.0, units-count: 3, unit0-name: nuts, unit0-weight: 0.8, unit0-omit-food-description: true, unit1-name: handfuls, unit1-weight: 36, unit1-omit-food-description: false, unit2-name: cups, unit2-weight: 130, unit2-omit-food-description: false",CRPS,NUTS,SLW1,SW05,,,,
IBUN,1,Iced bun,Iced buns,,,,AUSNUT,02E20090,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: Groll",BUNS,CAKE,,,,,,
ICED,3,Iced coffee,Iced coffee,Kopi ais,冰咖啡,ஐஸ் காபி,AUSNUT,01B10433,Inherited,FALSE,Inherited,Inherited,"CREM({en: Did you have cream with your iced coffee?}),
ICEC({en: Did you have ice cream with your iced coffee?})",,"CREM({ms: Adakah anda mengambil krim bersama Kopi ais?}),
ICEC({ms: Adakah anda mengambil aiskrim bersama Kopi ais?})","CREM({ta: ஐஸ் காபி உடன் சேர்த்து  கிரீம் சாப்பிட்டீர்களா?})
ICEC({ta: ஐஸ் காபி உடன் சேர்த்து ஐஸ்கிரீம் சாப்பிட்டீர்களா?}),","Method: drink-scale, conversion: 1.0, drinkware-id: glasses_soft, initial-fill-level: 0.9, skip-fill-level: false
Method: drink-scale, conversion: 1.0, drinkware-id: takeaway_cups_cold, initial-fill-level: 0.9, skip-fill-level: true
Method: guide-image, conversion: 1.0, guide-image-id: AUSmilk
Method: drink-scale, conversion: 1.0, drinkware-id: MY_ColdMug, initial-fill-level: 0.9, skip-fill-level: false",CFFS,DRNK,,,,,,
